time,Real_h,Imag_h,Amplitude,time_sec,phase_raw,phase_unwrapped,Frequency,Phase
0.03766970743716771,0.14273897975306613,-0.2009854021530562,0.24651480324632016,-0.00018138555037645887,-0.9532602983911479,143.56000176673942,9758.62651643157,-1.905253648242308
0.03767020194328259,0.14372904682129925,-0.2003243031715161,0.24655195262117216,-0.00018089104426157604,-0.9484336941430327,143.56482837098753,9762.28339406848,-1.9004261462067404
0.03767069644800476,0.14471638897095987,-0.1996580320025784,0.2465890568941306,-0.00018039653953940554,-0.9436052943251643,143.5696567708054,9765.944218873978,-1.89559684748167
0.03767119095133278,0.14570097818524183,-0.1989865970854888,0.2466261155348293,-0.00017990203621139067,-0.9387750966980148,143.57448696843255,9769.6088732481,-1.8907657501976303
0.0376716854532652,0.14668278602805454,-0.19831000675155583,0.24666312755406747,-0.00017940753427896777,-0.9339430997622177,143.57931896536834,9773.277893394232,-1.8859328522199803
0.0376721799538006,0.1476617852394976,-0.19762827054879128,0.24670009351482167,-0.00017891303374356626,-0.9291093007478541,143.5841527643827,9776.945836752653,-1.8810981541053025
0.03767267445293757,0.14863794427367544,-0.1969413951864524,0.24673700901139795,-0.00017841853460659474,-0.9242737035379669,143.58898836159258,9780.673243910074,-1.8762616264728251
0.03767316895067471,0.14961123594760437,-0.1962493662926302,0.2467738553656539,-0.00017792403686945485,-0.9194362454882488,143.59382581964232,9784.576510459185,-1.871423182384774
0.03767366344701062,0.15058171233758,-0.19555225347881583,0.24681072896282433,-0.00017742954053354826,-0.914596815367499,143.59866524976306,9788.425593733788,-1.8665828486591352
0.0376741579419439,0.15154927093188436,-0.19485003567730036,0.2468475600921162,-0.00017693504560026968,-0.9097555780421728,143.6035064870884,9792.094504117966,-1.8617407144146796
0.03767465243547318,0.15251387591991403,-0.1941427185507321,0.24688434035876738,-0.00017644055207098608,-0.9049125468837298,143.60834951824683,9795.750651866198,-1.8568967859860663
0.03767514692759712,0.15347549953538425,-0.1934303127052542,0.24692107004240882,-0.00017594605994705054,-0.9000677211900988,143.61319434394045,9799.40410965681,-1.852051064727135
0.03767564141831432,0.15443411143099237,-0.1927128272706078,0.2469577465237956,-0.0001754515692298439,-0.8952211043709775,143.61804096075957,9803.053141027689,-1.8472035528502602
0.03767613590762347,0.15538968221362578,-0.19199027182571807,0.24699436798065805,-0.00017495707992069842,-0.8903726974414997,143.62288936768906,9806.699213534594,-1.842354251841897
0.03767663039552322,0.15634218218906878,-0.19126265613314553,0.24703093240067295,-0.00017446259202094638,-0.885522502359468,143.6277395627711,9810.340806424618,-1.8375031639405393
0.03767712488201225,0.15729158135018423,-0.19052998998326867,0.24706743744707857,-0.00017396810553192005,-0.8806705216438968,143.63259154348665,9813.985128760338,-1.8326502878196607
0.03767761936708925,0.15823785245672892,-0.18979228371530968,0.24710388282661627,-0.000173473620454917,-0.8758167501228247,143.63744531500774,9817.594670563936,-1.8277956407007707
0.03767811385075292,0.15918095437329818,-0.1890495484842848,0.24714025980666524,-0.00017297913679124866,-0.8709612274111965,143.64230083771938,9821.370522856712,-1.8229391403692716
0.03767860833300194,0.1601209151308093,-0.18830178421039043,0.24717659557317373,-0.0001724846545422265,-0.8661037494654391,143.6471583156651,9824.329189509153,-1.8180811909317924
0.03767910281383503,0.16105743569767525,-0.1875490707478236,0.2472127657138339,-0.00017199017370913422,-0.8612453285389542,143.6520167365916,9826.144712924957,-1.81322235767081
0.03767959729325094,0.1619904490123625,-0.1867914221461708,0.2472487430880404,-0.00017149569429322775,-0.8563860829458462,143.65687598218472,9830.454831182957,-1.8083614070798717
0.037680091771248383,0.16292064239159124,-0.1860286999725904,0.24728488213148173,-0.00017100121629578385,-0.8515234273668595,143.6617386377637,9835.59450057149,-1.803497928989458
0.03768058624782611,0.16384749899519074,-0.18526101737172232,0.24732094024684734,-0.00017050673971805846,-0.8466591267697785,143.6666029383608,9839.14633435011,-1.7986327085728249
0.037681080722982874,0.1647710370347277,-0.1844883666080183,0.24735693250684154,-0.00017001226456129365,-0.8417929865389183,143.67146907859166,9842.86992764473,-1.7937656609216788
0.03768157519671742,0.1656912238496989,-0.18371076421977087,0.24739285873085196,-0.00016951779082674534,-0.8369250314727424,143.67633703365783,9846.577564775944,-1.7888967939485951
0.03768206966902855,0.16660803220106896,-0.18292822042295928,0.2474287174541856,-0.00016902331851561397,-0.8320552525980126,143.68120681253254,9850.300657093525,-1.7840261000339126
0.03768256413991505,0.16752143566685548,-0.18214074747357725,0.24746450916872473,-0.0001685288476291208,-0.8271836436486857,143.68607842148188,9854.033904194832,-1.7791535741789346
0.037683058609375694,0.16843140667404705,-0.18134835741647795,0.24750023331676446,-0.00016803437816847316,-0.8223102008934098,143.69095186423715,9857.771795719862,-1.7742792141096686
0.037683553077409296,0.16933791702288775,-0.18055106281957484,0.24753588916948685,-0.00016753991013487152,-0.8174349235155037,143.69582714161507,9861.505399942398,-1.7694030219685146
0.03768404754401466,0.17024093719641264,-0.17974887713241128,0.2475714755941718,-0.00016704544352950934,-0.8125578166163503,143.7007042485142,9865.249663621187,-1.7645249925069493
0.03768454200919063,0.17114044123785216,-0.17894181026547062,0.2476069911940501,-0.0001665509783535385,-0.8076788645977396,143.70558320053283,9868.901743769646,-1.7596451713287706
0.03768503647293601,0.1720363819943466,-0.17812989397202939,0.24764243549155943,-0.0001660565146081594,-0.8027981742650231,143.71046389086553,9872.514587581158,-1.754763577856835
0.037685530935249664,0.1729287425800332,-0.17731312920132458,0.24767780642899154,-0.0001655620522945031,-0.797915677659156,143.7153463874714,9876.262650996447,-1.7498801452518649
0.037686025396130446,0.17381750583218997,-0.17649151756879736,0.2477131024137813,-0.00016506759141372146,-0.7930313090605506,143.72023075607,9880.02361485362,-1.7449948671572315
0.0376865198555772,0.17470263379023915,-0.17566508163712624,0.24774832221394483,-0.00016457313196696632,-0.7881451214752089,143.72511694365537,9883.740626454353,-1.7401077653274513
0.03768701431358882,0.17558409940541891,-0.1748338331442723,0.24778346429076192,-0.00016407867395534792,-0.7832571054063574,143.7300049597242,9887.46438446641,-1.735218836448496
0.03768750877016417,0.17646187362767618,-0.1739977863155525,0.24781852732776585,-0.0001635842173799973,-0.7783672637226392,143.73489480140793,9891.186309069395,-1.7303280814485902
0.03768800322530216,0.17733592802938605,-0.17315695479322324,0.2478535098870015,-0.00016308976224201077,-0.7734755954118824,143.73978646971867,9894.909542649984,-1.72543549970203
0.03768849767900168,0.17820623457248916,-0.17231135301800404,0.24788841122448674,-0.00016259530854248472,-0.7685821002348792,143.74467996489568,9898.641915291548,-1.7205410867116484
0.03768899213126163,0.17907276493097155,-0.1714609923678882,0.24792322812476447,-0.0001621008562825363,-0.763686769436566,143.749575295694,9902.357500463724,-1.7156448507993787
0.03768948658208098,0.179935494127119,-0.1706058992661681,0.24795797004974124,-0.0001616064054631855,-0.7587896284156491,143.7544724367149,9906.173582285643,-1.7107467422960383
0.0376899810314586,0.180794381956404,-0.16974603463507787,0.2479925902548928,-0.00016111195608557033,-0.7538905524355332,143.75937151269503,9909.533157169819,-1.7058469869424755
0.03769047547939347,0.18164946359018783,-0.1688816681989555,0.24802730792448052,-0.00016061750815069692,-0.7489901177125481,143.76427194741802,9912.360046476126,-1.7009458480577564
0.037690969925901846,0.18250070235181565,-0.16801278693178423,0.2480620949107121,-0.00016012306164232132,-0.7440882746701554,143.7691737904604,9916.528672546148,-1.6960426623252545
0.03769146437094906,0.1833479352014378,-0.167138851363296,0.24809647514157188,-0.00015962861659511024,-0.7391837462555239,143.77407831887504,9921.032834112644,-1.691137263949372
0.03769195881455042,0.18419123733632847,-0.16626029239653894,0.24813080570390753,-0.00015913417299374955,-0.7342774779235145,143.77898458720705,9924.712658435106,-1.6862300604600762
0.03769245325670488,0.18503056909261603,-0.16537707113343902,0.24816504015556243,-0.000158639730839287,-0.7293693392824774,143.7838927258481,9928.502537041903,-1.6813209974627625
0.03769294769741145,0.1858659050658465,-0.16448921297130023,0.24819918583642459,-0.0001581452901327149,-0.7244593519343684,143.7888027131962,9932.27661857009,-1.67641008278909
0.037693442136669114,0.1866972174857536,-0.16359673207121472,0.24823324064537286,-0.0001576508508750532,-0.7195475099406343,143.79371455518992,9936.058404535055,-1.671497312650672
0.037693936574476866,0.18752447876271117,-0.1626996443305108,0.24826720363451396,-0.00015715641306730116,-0.7146338116630184,143.79862825346754,9939.843070983887,-1.6665826856438741
0.037694431010833765,0.18834766135794628,-0.16179796598051488,0.24830107396956513,-0.00015666197671040244,-0.7097182559325542,143.803543809198,9943.63067805767,-1.6616662003353326
0.037694925445738825,0.1891667378225492,-0.16089171329002383,0.24833485076369022,-0.00015616754180534237,-0.7048008410514761,143.80846122407908,9947.421484649181,-1.656747855163843
0.037695419879191075,0.1899816806737474,-0.15998090272223509,0.248368533086305,-0.0001556731083530924,-0.6998815655950732,143.8133804995355,9951.216570168734,-1.6518276480342706
0.03769591431118957,0.19079246258429164,-0.1590655505714114,0.2484021198733307,-0.0001551786763545962,-0.6949604267978345,143.8183016383327,9955.017243474722,-1.64690557620429
0.03769640874173337,0.19159905616476217,-0.15814567323320863,0.24843560993869718,-0.00015468424581079748,-0.6900374219406185,143.82322464318995,9958.823934614658,-1.6419816367188957
0.037696903170821534,0.19240143420939787,-0.15722128724252893,0.24846900218745807,-0.000154189816722633,-0.6851125478325605,143.828149517298,9962.636339247227,-1.6370558267734339
0.03769739759845316,0.1931995694513008,-0.15629240946951173,0.24850229555067196,-0.00015369538909100477,-0.6801858020552901,143.83307626307527,9966.453874021769,-1.6321281438516166
0.03769789202462733,0.19399343476494804,-0.15535905697208444,0.2485354890456442,-0.00015320096291683571,-0.6752571819945398,143.83800488313602,9970.276845276356,-1.6271985852858109
0.037698386449343126,0.19478300298686457,-0.15442124687858436,0.2485685815627502,-0.00015270653820104174,-0.6703266849292074,143.84293538020137,9974.105613023043,-1.6222671482302644
0.03769888087259965,0.1955682471562368,-0.1534789965348801,0.24860157214530373,-0.00015221211494451797,-0.6653943078890441,143.84786775724152,9977.93929284811,-1.6173338302761806
0.037699375294396056,0.19634914021151104,-0.15253232369512132,0.24863445986755917,-0.00015171769314811095,-0.6604600490266355,143.85280201610394,9981.776996523142,-1.6123986294539634
0.03769986971473145,0.19712565526374984,-0.15158124630171477,0.24866724390949416,-0.0001512232728127158,-0.6555239062502678,143.8577381588803,9985.619494587183,-1.6074615434133364
0.03770036413360494,0.19789776553830088,-0.15062578235153967,0.24869992342995545,-0.00015072885393922764,-0.6505858769510077,143.86267618817956,9989.466925740242,-1.6025225697349867
0.03770085855101572,0.19866544419856963,-0.14966595004217165,0.24873249751618867,-0.00015023443652844443,-0.6456459588991966,143.86761610623137,9993.3186686337,-1.5975817063067552
0.03770135296696292,0.19942866437963944,-0.14870176775378427,0.2487649651967641,-0.0001497400205812474,-0.640704150100202,143.87255791503037,9997.1748072505,-1.5926389509750436
0.03770184738144572,0.20018739939085936,-0.1477332540288065,0.24879732559015844,-0.00014924560609844845,-0.6357604482414675,143.8775016168891,10001.034521102905,-1.5876943019917746
0.03770234179446328,0.20094162236250812,-0.14676042775610107,0.24882957772907663,-0.00014875119308088713,-0.6308148521393226,143.88244721299125,10004.90042990446,-1.5827477563136654
0.03770283620601479,0.2016913077841456,-0.1457833077963622,0.24886172157993247,-0.00014825678152937533,-0.6258673568908967,143.88739470823967,10008.757954716682,-1.5777993181052636
0.03770333061609945,0.202436423775552,-0.14480191411113755,0.24889375243521908,-0.00014776237144471793,-0.6209179757281217,143.89234408940243,10012.672089666128,-1.5728489593973336
0.037703825024716454,0.20317696894414747,-0.14381626333570452,0.24892568832721096,-0.00014726796282771293,-0.6159666394808344,143.89729542564973,10016.36246997118,-1.5678967908353343
0.03770431943186502,0.20391280412091112,-0.1428263845720373,0.24895744177343357,-0.0001467735556791444,-0.6110136386091113,143.90224842652145,10021.3072014153,-1.5629421922787117
