u/M,Real_h,Imag_h,Redh/M,Imdh/M,Momega,A/M,phi,time,Amplitude,time_sec,phase_raw,phase_unwrapped,Frequency,Phase
3135.52,-0.02542788,-0.001796726,0.0004381622,-0.00533249,0.2105453,0.02549128,323.5135,0.04677533851942505,0.02549127901093776,0.011399398632026499,3.0710502135578066,323.5135008797167,15792.014605268836,188.66621690319985
3135.884,-0.02551375,0.0001522841,3.289017e-05,-0.005351002,0.2104923,0.02551421,323.59,0.046780185202516894,0.02551420446554454,0.011404245315118341,-3.135624017397881,323.59001195594055,15779.615593899041,188.74269569929461
3136.248,-0.02545169,0.002102367,-0.0003727839,-0.005338395,0.2103919,0.02553837,323.6665,0.046785031885608744,0.025538372517816967,0.011409091998210191,-3.059177501432195,323.66645847190625,15765.472600467503,188.81910594878232
3136.613,-0.02524197,0.004042181,-0.0007765136,-0.005294727,0.2102446,0.02556357,323.7428,0.046789878568700594,0.025563573238451247,0.011413938681302041,-2.982803518422475,323.74283245491597,15749.788865793496,188.89544018417834
3136.977,-0.02488573,0.005960434,-0.001175962,-0.005220237,0.210053,0.02558957,323.8191,0.04679472525179244,0.02558957465651307,0.01141878536439389,-2.906509030640135,323.81912694269835,15732.843536578119,188.97169229093382
3137.342,-0.02438495,0.007845958999999998,-0.001568815,-0.005115343,0.2098221,0.0256161,323.8953,0.04679957193488429,0.0256161054637933,0.01142363204748574,-2.8302993049116054,323.89533666842686,15714.970823973417,189.04785777431525
3137.706,-0.02374245,0.009687771,-0.001952796,-0.004980643,0.2095587,0.02564287,323.9715,0.046804418617976136,0.02564287111364367,0.011428478730577583,-2.754178063877245,323.9714579094612,15696.525126237422,189.1239338572453
3138.071,-0.02296188,0.01147514,-0.002325678,-0.004816907,0.2092715,0.02566957,324.0475,0.046809265301067986,0.025669568970943007,0.011433325413669433,-2.6781471390514606,324.047488834287,15677.830122057348,189.19991933141475
3138.435,-0.02204769,0.01319763,-0.002685295,-0.004625079,0.2089708,0.02569588,324.1234,0.046814111984159835,0.025695876555451462,0.011438172096761283,-2.60220711553828,324.12342885780015,15659.386072002351,189.2758154131187
3138.8,-0.02100508,0.01484521,-0.003029557,-0.004406265,0.2086676,0.02572147,324.1993,0.046818958667251685,0.02572146274515701,0.011443018779853133,-2.52635497564363,324.1992809976948,15641.598555795848,189.35162528436857
3139.164,-0.01984004,0.01640826,-0.003356462,-0.004161732,0.2083736,0.02574604,324.275,0.046823805350343535,0.025746032382275914,0.011447865462944982,-2.4505873730385868,324.2750486002999,15624.799611248076,189.42735373645783
3139.529,-0.01855924,0.01787766,-0.003664105,-0.003892899,0.2081003,0.02576928,324.3507,0.04682865203343537,0.02576928630081167,0.011452712146036818,-2.374898071465081,324.3507379018734,15609.364020071924,189.50300737712834
3139.893,-0.01717004,0.01924481,-0.003950691,-0.003601328,0.2078587,0.02579095,324.4264,0.04683349871652722,0.0257909477440768,0.011457558829128668,-2.2992800916976206,324.42635588164086,15595.667520470917,189.57859463520592
3140.257,-0.01568042,0.02050174,-0.004214548,-0.003288715,0.2076587,0.02581079,324.5019,0.04683834539961907,0.025810790658249896,0.011462405512220518,-2.2237235553098906,324.50191241802855,15584.062535282224,189.65412564759802
3140.622,-0.01409896,0.02164111,-0.004454132,-0.002956881,0.2075084,0.02582863,324.5774,0.04684319208271092,0.025828633628469395,0.011467252195312368,-2.1482180669134716,324.577417906425,15574.707543279976,189.72961131930848
3140.986,-0.01243476,0.02265624,-0.004668042,-0.00260776,0.207414,0.02584431,324.6529,0.04684803876580276,0.02584431208593489,0.01147209887840421,-2.072752211888937,324.6528837614495,15567.733331792057,189.80506318922605
3141.351,-0.01069744,0.02354121,-0.004855022,-0.00224339,0.2073793,0.02585776,324.7283,0.04685288544889461,0.025857760746392948,0.01147694556149606,-1.9973143270782765,324.72832164626016,15563.283956706524,189.88049349443267
3141.715,-0.008897011,0.02429084,-0.005013975,-0.001865895,0.2074056,0.02586893,324.8037,0.04685773213198646,0.025868933349477728,0.01148179224458791,-1.9218916014756875,324.80374437186276,15561.424355272204,189.95591478674046
3142.08,-0.00704387,0.02490074,-0.005143965,-0.001477478,0.2074914,0.02587785,324.8792,0.04686257881507831,0.02587784684096612,0.01148663892767976,-1.846471742462721,324.87916423087574,15562.057916976511,190.03133914972105
3142.444,-0.005148726,0.02536734,-0.005244226,-0.001080407,0.2076327,0.02588458,324.9546,0.04686742549817016,0.025884576838315822,0.01149148561077161,-1.7710428755144663,324.954593097824,15565.069381177425,190.10677810831422
3142.809,-0.003222534,0.02568791,-0.005314162,-0.0006769955,0.2078229,0.02588925,325.03,0.046872272181262005,0.025889253476090345,0.011496332293863452,-1.6955938252763727,325.0300421480621,15570.257420044392,190.18224221168762
3143.173,-0.001276435,0.02586056,-0.005353359,-0.0002695965,0.208053,0.02589204,325.1055,0.046877118864353855,0.025892042210355386,0.011501178976955302,-1.6201146687676649,325.1055213045708,15577.368385963142,190.25774077965943
3143.537,0.0006783137,0.02588427,-0.005361577,0.0001394177,0.2083122,0.02589315,325.181,0.04688196554744571,0.025893156294830258,0.011506025660047159,-1.5445966893326941,325.18103928400575,15586.098880417645,190.33328166157102
3143.902,0.002630398,0.02575888,-0.005338762,0.0005476664,0.2085885,0.02589283,325.2566,0.046886812230537554,0.025892834771279953,0.011510872343139002,-1.4690329049443673,325.2566030683941,15596.089423976839,190.4088709644811
3144.266,0.004568518,0.02548511,-0.005285038,0.0009527773,0.2088687,0.02589135,325.3322,0.046891658913629404,0.025891353545699845,0.011515719026230851,-1.3934180835124717,325.332217889826,15606.969437293708,190.4845129993678
3144.631,0.006481453,0.02506453,-0.005200711,0.001352398,0.2091395,0.02588899,325.4079,0.04689650559672125,0.025888991813357836,0.011520565709322694,-1.3177488351710436,325.40788713816744,15618.338340908289,190.56021013572743
3144.995,0.008358125,0.02449957,-0.005086265,0.001744214,0.2093881,0.02588604,325.4836,0.0469013522798131,0.025886042256407695,0.011525412392414544,-1.24202381079316,325.4836121625453,15629.793190255761,190.63596279011173
3145.36,0.01018766,0.02379348,-0.00494236,0.002125956,0.2096026,0.02588278,325.5594,0.046906198962904946,0.025882776257310572,0.011530259075506394,-1.1662435264023812,325.5593924469361,15641.012131758034,190.71176981915013
3145.724,0.01195948,0.02295035,-0.004769828,0.00249542,0.2097728,0.02587948,325.6352,0.046911045645996796,0.025879484674021236,0.011535105758598244,-1.090409752716351,325.6352262206221,15651.579059541225,190.78762806273878
3146.089,0.0136633,0.02197504,-0.004569668,0.002850476,0.2098907,0.0258764,325.7111,0.046915892329088646,0.025876401409229994,0.011539952441690093,-1.0145270392251502,325.7111089341133,15661.14084316045,190.86353264926228
3146.453,0.01528926,0.02087319,-0.004343039,0.003189082,0.2099506,0.02587376,325.787,0.04692073901218048,0.025873761460670927,0.01154479912478193,-0.9386005796693184,325.78703539366916,15669.508554622531,190.93947779143147
3146.818,0.01682794,0.01965115,-0.004091253,0.003509293,0.2099499,0.02587174,325.863,0.04692558569527233,0.025871746384156208,0.011549645807873779,-0.8626367548868875,325.8629992184516,15676.490726150572,191.01545677397345
3147.182,0.01827043,0.01831596,-0.003815769,0.003809276,0.2098886,0.02587051,325.939,0.04693043237836418,0.0258705045004248,0.011554492490965629,-0.7866426145853496,325.9389933587531,15681.935353383422,191.0914621448982
3147.546,0.01960838,0.01687532,-0.003518181,0.004087316,0.2097699,0.02587016,326.015,0.04693527906145603,0.025870156383887594,0.011559339174057479,-0.710626013037352,326.0150099603011,15685.696089208126,191.16748574291765
3147.911,0.02083403,0.01533753,-0.003200213,0.004341828,0.2095992,0.02587077,326.091,0.04694012574454788,0.02587076791557993,0.011564185857149328,-0.634595418546465,326.091040554792,15687.812267161906,191.24351959738098
3148.275,0.02194029,0.01371143,-0.002863702,0.004571365,0.2093846,0.02587237,326.1671,0.046944972427639724,0.025872372097065242,0.011569032540241171,-0.5585583041106456,326.1670776692278,15688.352464549243,191.31955607000984
3148.64,0.02292074,0.01200637,-0.002510594,0.004774626,0.2091356,0.02587495,326.2431,0.046949819110731573,0.02587495396564987,0.011573879223333021,-0.48252247328871395,326.24311350004973,15687.38844358176,191.39558787033465
3149.004,0.02376969,0.01023214,-0.002142929,0.004950459,0.2088632,0.02587847,326.3191,0.04695466579382342,0.025878463085656767,0.01157872590642487,-0.4064947034610603,326.3191412698774,15685.05569498241,191.47160836456626
3149.369,0.02448224,0.008398948999999998,-0.001762827,0.005097874,0.2085789,0.02588286,326.3952,0.04695951247691527,0.0258828595738995,0.01158357258951672,-0.33048148482556,326.3951544885129,15681.546050168574,191.5476118486616
3149.733,0.02505423,0.006517301,-0.001372482,0.005216042,0.2082942,0.02588802,326.4711,0.046964359160007116,0.025888021423382302,0.011588419272608563,-0.25448773527036445,326.4711482380681,15677.11335682869,191.62359384889712
3150.098,0.02548234,0.004597991,-0.0009741420000000001,0.005304301,0.2080201,0.02589385,326.5471,0.046969205843098966,0.025893844309250045,0.011593265955700413,-0.1785174843546338,326.5471184889838,15671.968744300306,191.69955091482612
3150.462,0.02576408,0.002652022,-0.0005701005,0.005362158,0.2077666,0.02590021,326.6231,0.046974052526190815,0.025900213105974325,0.011598112638792263,-0.10257360341233092,326.6230623699261,15666.347867071629,191.77548073814447
